fproceso,subdepto,qfabrica,pares,vcestil,requiere,meta,ndepto
06/04/2017,"CORTE",2,192,"10302",T,4000,"CCLICKEN"
06/04/2017,"CORTE",2,200,"10303",T,4000,"CCLICKEN"
06/04/2017,"CORTE",2,68,"12647",T,4000,"CCLICKEN"
06/04/2017,"CORTE",2,298,"18299",T,4000,"CCLICKEN"
06/04/2017,"CORTE",2,69,"18312",T,4000,"CCLICKEN"
06/04/2017,"CORTE",2,65,"18318",T,4000,"CCLICKEN"
06/04/2017,"CORTE",2,281,"75015",T,4000,"CCLICKEN"
07/04/2017,"CORTE",2,200,"10300",T,2000,"CCLICKEN"
07/04/2017,"CORTE",2,150,"14862",T,2000,"CCLICKEN"
07/04/2017,"CORTE",2,14,"1525",T,2000,"CCLICKEN"
07/04/2017,"CORTE",2,5,"18303",T,2000,"CCLICKEN"
07/04/2017,"CORTE",2,412,"18312",T,2000,"CCLICKEN"
07/04/2017,"CORTE",2,37,"18318",T,2000,"CCLICKEN"
07/04/2017,"CORTE",2,399,"18320",T,2000,"CCLICKEN"
07/04/2017,"CORTE",2,150,"783",T,2000,"CCLICKEN"
08/04/2017,"CORTE",2,60,"11977",T,2000,"CCLICKEN"
08/04/2017,"CORTE",2,84,"12647",T,2000,"CCLICKEN"
08/04/2017,"CORTE",2,127,"1525",T,2000,"CCLICKEN"
08/04/2017,"CORTE",2,282,"18312",T,2000,"CCLICKEN"
08/04/2017,"CORTE",2,252,"20081",T,2000,"CCLICKEN"
08/04/2017,"CORTE",2,281,"30022",T,2000,"CCLICKEN"
08/04/2017,"CORTE",2,240,"550",T,2000,"CCLICKEN"
08/04/2017,"CORTE",2,115,"60253",T,2000,"CCLICKEN"
08/04/2017,"CORTE",2,240,"9167",T,2000,"CCLICKEN"
08/04/2017,"CORTE",2,240,"9169",T,2000,"CCLICKEN"
17/04/2017,"CORTE",2,135,"10303",T,4000,"CCLICKEN"
17/04/2017,"CORTE",2,166,"1525",T,4000,"CCLICKEN"
17/04/2017,"CORTE",2,6,"18312",T,4000,"CCLICKEN"
17/04/2017,"CORTE",2,78,"20021",T,4000,"CCLICKEN"
18/04/2017,"CORTE",2,65,"10303",T,4000,"CCLICKEN"
18/04/2017,"CORTE",2,37,"11571",T,4000,"CCLICKEN"
18/04/2017,"CORTE",2,24,"13904",T,4000,"CCLICKEN"
18/04/2017,"CORTE",2,547,"1525",T,4000,"CCLICKEN"
18/04/2017,"CORTE",2,97,"18311",T,4000,"CCLICKEN"
18/04/2017,"CORTE",2,100,"20021",T,4000,"CCLICKEN"
18/04/2017,"CORTE",2,84,"20023",T,4000,"CCLICKEN"
18/04/2017,"CORTE",2,2,"20081",T,4000,"CCLICKEN"
18/04/2017,"CORTE",2,40,"2052",T,4000,"CCLICKEN"
18/04/2017,"CORTE",2,149,"30221",T,4000,"CCLICKEN"
18/04/2017,"CORTE",2,12,"40074",T,4000,"CCLICKEN"
18/04/2017,"CORTE",2,9,"50011",T,4000,"CCLICKEN"
19/04/2017,"CORTE",2,290,"10300",T,4000,"CCLICKEN"
19/04/2017,"CORTE",2,24,"10708",T,4000,"CCLICKEN"
19/04/2017,"CORTE",2,12,"13904",T,4000,"CCLICKEN"
19/04/2017,"CORTE",2,126,"1525",T,4000,"CCLICKEN"
19/04/2017,"CORTE",2,100,"18298",T,4000,"CCLICKEN"
19/04/2017,"CORTE",2,59,"18311",T,4000,"CCLICKEN"
19/04/2017,"CORTE",2,7,"18312",T,4000,"CCLICKEN"
19/04/2017,"CORTE",2,48,"30021",T,4000,"CCLICKEN"
19/04/2017,"CORTE",2,80,"40074",T,4000,"CCLICKEN"
19/04/2017,"CORTE",2,387,"8043",T,4000,"CCLICKEN"
19/04/2017,"CORTE",2,200,"8060",T,4000,"CCLICKEN"
20/04/2017,"CORTE",2,200,"10302",T,4000,"CCLICKEN"
20/04/2017,"CORTE",2,22,"10700",T,4000,"CCLICKEN"
20/04/2017,"CORTE",2,12,"10708",T,4000,"CCLICKEN"
20/04/2017,"CORTE",2,731,"18312",T,4000,"CCLICKEN"
20/04/2017,"CORTE",2,40,"18314",T,4000,"CCLICKEN"
20/04/2017,"CORTE",2,24,"40802",T,4000,"CCLICKEN"
20/04/2017,"CORTE",2,28,"90083",T,4000,"CCLICKEN"
21/04/2017,"CORTE",2,34,"10556",T,4000,"CCLICKEN"
21/04/2017,"CORTE",2,36,"10693",T,4000,"CCLICKEN"
21/04/2017,"CORTE",2,397,"1525",T,4000,"CCLICKEN"
21/04/2017,"CORTE",2,2,"18312",T,4000,"CCLICKEN"
22/04/2017,"CORTE",2,200,"10300",T,4000,"CCLICKEN"
22/04/2017,"CORTE",2,29,"14862",T,4000,"CCLICKEN"
22/04/2017,"CORTE",2,30,"18311",T,4000,"CCLICKEN"
22/04/2017,"CORTE",2,194,"18320",T,4000,"CCLICKEN"
22/04/2017,"CORTE",2,31,"783",T,4000,"CCLICKEN"
24/04/2017,"CORTE",2,78,"1525",T,4000,"CCLICKEN"
24/04/2017,"CORTE",2,188,"18311",T,4000,"CCLICKEN"
24/04/2017,"CORTE",2,44,"554",T,4000,"CCLICKEN"
24/04/2017,"CORTE",2,58,"6686",T,4000,"CCLICKEN"
24/04/2017,"CORTE",2,6,"90081",T,4000,"CCLICKEN"
25/04/2017,"CORTE",2,300,"10302",T,4000,"CCLICKEN"
25/04/2017,"CORTE",2,47,"10556",T,4000,"CCLICKEN"
25/04/2017,"CORTE",2,24,"11974",T,4000,"CCLICKEN"
25/04/2017,"CORTE",2,311,"1525",T,4000,"CCLICKEN"
25/04/2017,"CORTE",2,402,"18312",T,4000,"CCLICKEN"
25/04/2017,"CORTE",2,99,"18318",T,4000,"CCLICKEN"
25/04/2017,"CORTE",2,103,"20081",T,4000,"CCLICKEN"
25/04/2017,"CORTE",2,42,"30221",T,4000,"CCLICKEN"
25/04/2017,"CORTE",2,82,"30222",T,4000,"CCLICKEN"
26/04/2017,"CORTE",2,200,"10303",T,4000,"CCLICKEN"
26/04/2017,"CORTE",2,220,"11077",T,4000,"CCLICKEN"
26/04/2017,"CORTE",2,10,"1525",T,4000,"CCLICKEN"
26/04/2017,"CORTE",2,100,"18299",T,4000,"CCLICKEN"
26/04/2017,"CORTE",2,390,"18312",T,4000,"CCLICKEN"
26/04/2017,"CORTE",2,240,"18314",T,4000,"CCLICKEN"
26/04/2017,"CORTE",2,240,"2052",T,4000,"CCLICKEN"
26/04/2017,"CORTE",2,189,"30222",T,4000,"CCLICKEN"
